Feature,Importance
Age,0.2197266323397889
Fare,0.21972461648650368
Sex_female,0.13544105575508425
Sex_male,0.1341984807327769
Pclass_3,0.04369754758020873
Cabin_N,0.032416668599180035
Pclass_2,0.020104055885605765
Pclass_1,0.01994168518366526
SibSp_1,0.01731514699571579
Embarked_S,0.01726771732345384
Parch_0,0.016482677763523402
Embarked_C,0.01572229282923158
SibSp_0,0.014338914682904508
Parch_1,0.011383097416526258
Parch_2,0.010616372552838031
Cabin_E,0.009947788410773931
Embarked_Q,0.009006909623138788
Cabin_B,0.007617169710367479
Cabin_C,0.006355852771166786
SibSp_3,0.0061746743484281455
Cabin_D,0.005706797629697682
SibSp_2,0.005249832781654014
SibSp_4,0.0039092533802316115
Cabin_A,0.003329891838842318
Cabin_F,0.003318484501695278
SibSp_8,0.002433819179722325
Cabin_G,0.0023571994973460757
Parch_4,0.001762261113290319
Parch_5,0.0013709256150083236
SibSp_5,0.0012492588068017054
Parch_3,0.0009952292931051916
Cabin_T,0.0004285453369062241
Parch_6,0.0004091440348169765
